"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"071120 Tweedehands auto's";"2025 februari";"  121.88";"     0.2"
"071120 Tweedehands auto's";"2025 maart";"  122.02";"     0.4"
"071120 Tweedehands auto's";"2025 april";"  121.94";"     0.3"
"071120 Tweedehands auto's";"2025 mei";"  122.21";"     0.7"
"071120 Tweedehands auto's";"2025 juni";"  122.22";"     0.8"
"071120 Tweedehands auto's";"2025 juli";"  122.52";"     0.9"
"071120 Tweedehands auto's";"2025 augustus";"  122.47";"     0.9"
"071120 Tweedehands auto's";"2025 september";"  122.19";"     0.9"
"071120 Tweedehands auto's";"2025 oktober";"  121.72";"     1.3"
"071120 Tweedehands auto's";"2025 november";"  121.23";"     1.2"
"071120 Tweedehands auto's";"2025 december";"  120.86";"     1.2"
