"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"072300 Onderhoud en rep. privévoertuigen";"2017 juni";"  100.42";"    -2.0"
"072300 Onderhoud en rep. privévoertuigen";"2017 juli";"   98.55";"    -3.4"
"072300 Onderhoud en rep. privévoertuigen";"2017 augustus";"   99.25";"    -2.9"
"072300 Onderhoud en rep. privévoertuigen";"2017 september";"  100.41";"    -1.6"
"072300 Onderhoud en rep. privévoertuigen";"2017 oktober";"  101.74";"    -1.4"
"072300 Onderhoud en rep. privévoertuigen";"2017 november";"  101.55";"    -2.2"
"072300 Onderhoud en rep. privévoertuigen";"2017 december";"  101.43";"    -2.3"
"072300 Onderhoud en rep. privévoertuigen";"2018 januari";"   99.79";"    -3.3"
"072300 Onderhoud en rep. privévoertuigen";"2018 februari";"   98.82";"    -5.2"
"072300 Onderhoud en rep. privévoertuigen";"2018 maart";"  100.86";"    -2.8"
"072300 Onderhoud en rep. privévoertuigen";"2018 april";"  102.28";"    -0.2"
"072300 Onderhoud en rep. privévoertuigen";"2018 mei";"  102.82";"     0.9"
"072300 Onderhoud en rep. privévoertuigen";"2018 juni";"  103.24";"     2.8"
"072300 Onderhoud en rep. privévoertuigen";"2018 juli";"  102.12";"     3.6"
"072300 Onderhoud en rep. privévoertuigen";"2018 augustus";"  103.05";"     3.8"
"072300 Onderhoud en rep. privévoertuigen";"2018 september";"  103.72";"     3.3"
"072300 Onderhoud en rep. privévoertuigen";"2018 oktober";"  105.81";"     4.0"
"072300 Onderhoud en rep. privévoertuigen";"2018 november";"  105.52";"     3.9"
"072300 Onderhoud en rep. privévoertuigen";"2018 december";"  104.55";"     3.1"
"072300 Onderhoud en rep. privévoertuigen";"2019 januari";"  106.40";"     6.6"
"072300 Onderhoud en rep. privévoertuigen";"2019 februari";"  106.96";"     8.2"
"072300 Onderhoud en rep. privévoertuigen";"2019 maart";"  106.43";"     5.5"
"072300 Onderhoud en rep. privévoertuigen";"2019 april";"  107.14";"     4.8"
"072300 Onderhoud en rep. privévoertuigen";"2019 mei";"  107.12";"     4.2"
"072300 Onderhoud en rep. privévoertuigen";"2019 juni";"  106.66";"     3.3"
"072300 Onderhoud en rep. privévoertuigen";"2019 juli";"  107.26";"     5.0"
"072300 Onderhoud en rep. privévoertuigen";"2019 augustus";"  107.44";"     4.3"
"072300 Onderhoud en rep. privévoertuigen";"2019 september";"  107.33";"     3.5"
"072300 Onderhoud en rep. privévoertuigen";"2019 oktober";"  108.30";"     2.4"
"072300 Onderhoud en rep. privévoertuigen";"2019 november";"  108.75";"     3.1"
"072300 Onderhoud en rep. privévoertuigen";"2019 december";"  108.60";"     3.9"
"072300 Onderhoud en rep. privévoertuigen";"2020 januari";"  108.64";"     2.1"
"072300 Onderhoud en rep. privévoertuigen";"2020 februari";"  108.72";"     1.6"
"072300 Onderhoud en rep. privévoertuigen";"2020 maart";"  109.18";"     2.6"
"072300 Onderhoud en rep. privévoertuigen";"2020 april";"  110.27";"     2.9"
"072300 Onderhoud en rep. privévoertuigen";"2020 mei";"  110.18";"     2.9"
"072300 Onderhoud en rep. privévoertuigen";"2020 juni";"  110.24";"     3.4"
"072300 Onderhoud en rep. privévoertuigen";"2020 juli";"  113.15";"     5.5"
"072300 Onderhoud en rep. privévoertuigen";"2020 augustus";"  111.53";"     3.8"
"072300 Onderhoud en rep. privévoertuigen";"2020 september";"  109.94";"     2.4"
"072300 Onderhoud en rep. privévoertuigen";"2020 oktober";"  109.54";"     1.1"
"072300 Onderhoud en rep. privévoertuigen";"2020 november";"  109.70";"     0.9"
"072300 Onderhoud en rep. privévoertuigen";"2020 december";"  109.71";"     1.0"
"072300 Onderhoud en rep. privévoertuigen";"2021 januari";"  109.82";"     1.1"
"072300 Onderhoud en rep. privévoertuigen";"2021 februari";"  110.06";"     1.2"
"072300 Onderhoud en rep. privévoertuigen";"2021 maart";"  110.02";"     0.8"
"072300 Onderhoud en rep. privévoertuigen";"2021 april";"  110.62";"     0.3"
"072300 Onderhoud en rep. privévoertuigen";"2021 mei";"  113.12";"     2.7"
"072300 Onderhoud en rep. privévoertuigen";"2021 juni";"  113.46";"     2.9"
"072300 Onderhoud en rep. privévoertuigen";"2021 juli";"  114.61";"     1.3"
"072300 Onderhoud en rep. privévoertuigen";"2021 augustus";"  115.01";"     3.1"
"072300 Onderhoud en rep. privévoertuigen";"2021 september";"  115.43";"     5.0"
"072300 Onderhoud en rep. privévoertuigen";"2021 oktober";"  115.70";"     5.6"
"072300 Onderhoud en rep. privévoertuigen";"2021 november";"  116.04";"     5.8"
"072300 Onderhoud en rep. privévoertuigen";"2021 december";"  116.51";"     6.2"
"072300 Onderhoud en rep. privévoertuigen";"2022 januari";"  116.41";"     6.0"
"072300 Onderhoud en rep. privévoertuigen";"2022 februari";"  117.35";"     6.6"
"072300 Onderhoud en rep. privévoertuigen";"2022 maart";"  117.77";"     7.0"
"072300 Onderhoud en rep. privévoertuigen";"2022 april";"  118.58";"     7.2"
"072300 Onderhoud en rep. privévoertuigen";"2022 mei";"  119.25";"     5.4"
"072300 Onderhoud en rep. privévoertuigen";"2022 juni";"  120.84";"     6.5"
"072300 Onderhoud en rep. privévoertuigen";"2022 juli";"  121.25";"     5.8"
"072300 Onderhoud en rep. privévoertuigen";"2022 augustus";"  121.31";"     5.5"
"072300 Onderhoud en rep. privévoertuigen";"2022 september";"  121.55";"     5.3"
"072300 Onderhoud en rep. privévoertuigen";"2022 oktober";"  121.66";"     5.2"
"072300 Onderhoud en rep. privévoertuigen";"2022 november";"  121.54";"     4.7"
"072300 Onderhoud en rep. privévoertuigen";"2022 december";"  123.56";"     6.1"
"072300 Onderhoud en rep. privévoertuigen";"2023 januari";"  125.75";"     8.0"
"072300 Onderhoud en rep. privévoertuigen";"2023 februari";"  127.22";"     8.4"
"072300 Onderhoud en rep. privévoertuigen";"2023 maart";"  127.77";"     8.5"
"072300 Onderhoud en rep. privévoertuigen";"2023 april";"  129.16";"     8.9"
"072300 Onderhoud en rep. privévoertuigen";"2023 mei";"  130.35";"     9.3"
